PublicAddress,ControlNbr,CCN,Precinct,ReportedDate,BeginDate,Time,Offense,Description,UCRCode,EnteredDate,GBSID,Lat,Long,X,Y,Neighborhood,LastChanged,LastUpdateDate,OBJECTID
0036XX Harriet AV S,3763303,MP 2018 168775,5,2018-05-24T08:00:00.000Z,2018-05-23T22:00:00.000Z,22:00:00,BURGD,Burglary Of Dwelling,6,2018-05-24T09:12:52.000Z,20680,44.93679477,-93.28563507,-10384509.39,5611576.599,KING FIELD,2018-05-24T10:01:31.000Z,2018-05-24T20:00:32.000Z,7001
0026XX 15 AV S,3763305,MP 2018 168816,3,2018-05-24T09:16:00.000Z,2018-05-24T02:00:00.000Z,2:00:00,BURGD,Burglary Of Dwelling,6,2018-05-24T09:15:56.000Z,16880,44.95463771,-93.25371857,-10380956.47,5614382.948,MIDTOWN PHILLIPS,2018-05-24T14:55:16.000Z,2018-05-24T20:00:32.000Z,7002
0025XX Central AV NE,3763321,MP 2018 168857,2,2018-05-24T10:31:00.000Z,2018-05-24T09:49:00.000Z,9:49:00,THEFT,Other Theft,7,2018-05-24T10:30:54.000Z,20470,45.01406587,-93.24733737,-10380246.11,5623736.142,AUDUBON PARK,2018-05-24T12:25:35.000Z,2018-05-24T20:00:32.000Z,7003
0024XX Washington AV N,3763333,MP 2018 168876,4,2018-05-24T10:50:00.000Z,2018-04-07T09:00:00.000Z,9:00:00,THFTSW,Theft By Swindle,7,2018-05-24T10:50:10.000Z,13725,45.00479051,-93.28179524,-10384081.95,5622275.685,HAWTHORNE,2018-05-24T11:57:24.000Z,2018-05-24T20:00:32.000Z,7004
0005XX 15 AV S,3763353,MP 2018 168906,1,2018-05-24T11:25:00.000Z,2018-05-24T00:30:00.000Z,0:30:00,TFMV,Theft From Motr Vehc,7,2018-05-24T11:24:49.000Z,20266,44.9696582,-93.25060737,-10380610.13,5616746.054,CEDAR RIVERSIDE,2018-05-24T13:00:22.000Z,2018-05-24T20:00:32.000Z,7005
0003XX 6 ST S,3763357,MP 2018 997424,1,2018-05-24T11:48:20.000Z,2018-05-10T13:12:00.000Z,13:12:00,BIKETF,Bike Theft,7,2018-05-24T11:48:20.000Z,17429,44.97584579,-93.26666259,-10382397.39,5617719.701,DOWNTOWN WEST,2018-05-24T11:48:25.000Z,2018-05-24T20:00:32.000Z,7006
0005XX 9 ST SE,3763368,MP 2018 168828,2,2018-05-24T13:30:00.000Z,2018-05-23T12:21:00.000Z,12:21:00,THFTSW,Theft By Swindle,7,2018-05-24T12:50:34.000Z,14785,44.99008026,-93.24364469,-10379835.05,5619959.962,MARCY HOLMES,2018-05-24T17:34:59.000Z,2018-05-24T20:00:32.000Z,7007
0003XX Nicollet Mall  ,3763371,MP 2018 169000,1,2018-05-24T13:07:00.000Z,2018-05-24T11:05:00.000Z,11:05:00,THEFT,Other Theft,7,2018-05-24T13:04:44.000Z,21735,44.98028091,-93.26939311,-10382701.35,5618417.653,DOWNTOWN WEST,2018-05-24T15:08:03.000Z,2018-05-24T20:00:32.000Z,7008
0001XX 6 ST N,3763376,MP 2018 168897,1,2018-05-24T13:15:00.000Z,2018-05-22T16:44:00.000Z,16:44:00,BURGB,Burglary Of Business,6,2018-05-24T13:16:02.000Z,17242,44.98000271,-93.27539336,-10383369.29,5618373.872,DOWNTOWN WEST,2018-05-24T15:11:07.000Z,2018-05-24T20:00:32.000Z,7009
0035XX PLEASANT AV ,3763379,MP 2018 997422,5,2018-05-24T13:35:57.000Z,2018-04-29T00:00:00.000Z,0:00:00,TFMV,Theft From Motr Vehc,7,2018-05-24T13:35:57.000Z,10985,44.93861088,-93.28305967,-10384222.7,5611862.197,LYNDALE,2018-05-24T13:36:01.000Z,2018-05-24T20:00:32.000Z,7010
0037XX Oliver AV N,3763381,MP 2018 169032,4,2018-05-24T13:44:00.000Z,2018-05-24T12:54:00.000Z,12:54:00,DASLT2,2nd Deg Domes Aslt,5,2018-05-24T13:43:12.000Z,22372,45.02317158,-93.30703936,-10386892.11,5625170.115,FOLWELL,2018-05-25T09:15:05.000Z,2018-05-25T20:00:34.000Z,7011
0030XX NICOLLET AV ,3763393,MP 2018 997421,5,2018-05-24T14:36:13.000Z,2018-05-24T13:30:00.000Z,13:30:00,THEFT,Other Theft,7,2018-05-24T14:36:13.000Z,17535,44.9474943,-93.2779272,-10383651.36,5613259.322,LYNDALE,2018-05-24T14:36:18.000Z,2018-05-24T20:00:32.000Z,7012
0026XX NICOLLET AV ,3763394,MP 2018 997420,5,2018-05-24T14:39:33.000Z,2018-05-09T19:30:00.000Z,19:30:00,TFMV,Theft From Motr Vehc,7,2018-05-24T14:39:33.000Z,16208,44.95463802,-93.27787759,-10383645.84,5614382.996,WHITTIER,2018-05-24T14:39:37.000Z,2018-05-24T20:00:32.000Z,7013
